,genus,1,Gsr,Fba,Adh2,Mdh,Adh1,Pfk,PduE,PduD,Tal,Mpd,Pfl,Pkl,OrdC,Gab,Gls,Cgl,Tak,LdhD
0,Acetilactobacillus,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Agrilactobacillus,3,1,3,3,2,2,3,0,0,0,2,3,3,0,0,0,0,3,1
2,Amylolactobacillus,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,Apilactobacillus,11,11,0,3,11,10,0,1,1,1,0,0,11,0,0,0,0,1,1
4,Bombilactobacillus,6,1,6,1,0,0,6,1,1,1,2,0,6,1,0,0,0,2,0
5,Carnobacterium,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
6,Companilactobacillus,35,22,34,28,1,0,35,5,5,2,7,0,35,24,1,0,0,10,0
7,Convivina,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Dellaglioa,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,Fructilactobacillus,9,9,7,9,9,9,0,0,0,0,0,0,9,0,0,1,0,0,0
10,Fructobacillus,12,11,0,0,12,1,0,0,0,0,0,0,12,0,0,0,0,0,0
11,Furfurilactobacillus,3,1,0,3,2,3,0,2,2,3,0,0,3,3,1,0,0,3,1
12,Holzapfeliella,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,Lacticaseibacillus,28,9,28,22,2,0,28,0,0,0,8,21,28,14,0,0,0,3,3
14,Lactiplantibacillus,17,9,17,15,0,0,17,0,0,2,17,12,17,0,5,0,0,10,0
15,Lactobacillus,47,3,47,30,3,0,46,0,0,1,12,0,47,33,0,7,0,4,0
16,Lapidilactobacillus,8,3,8,8,0,0,8,0,0,1,0,8,8,4,0,0,0,0,0
17,Latilactobacillus,6,1,6,6,0,3,6,2,2,1,0,6,6,0,0,0,0,0,0
18,Lentilactobacillus,21,19,0,21,18,21,0,8,8,0,0,0,21,1,5,0,0,3,16
19,Leuconostoc,19,17,6,19,16,19,9,0,0,0,0,0,18,0,0,0,0,16,0
20,Levilactobacillus,29,17,0,28,29,29,0,14,14,28,0,0,29,4,5,0,0,28,24
21,Ligilactobacillus,16,4,16,13,0,5,15,1,1,0,8,10,13,14,2,0,0,4,1
22,Limosilactobacillus,30,2,13,29,30,29,0,9,9,7,0,0,29,2,7,15,29,10,6
23,Liquorilactobacillus,12,11,12,12,0,0,12,0,0,3,11,11,12,10,0,0,0,8,1
24,Loigolactobacillus,9,9,9,9,0,4,9,4,4,0,8,9,9,2,1,0,0,9,0
25,Nicolia,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Oenococcus,4,3,0,3,4,3,0,0,0,0,0,0,3,0,0,0,0,2,2
27,Paralactobacillus,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,Paucilactobacillus,7,2,0,7,0,7,0,0,0,6,0,0,6,1,1,0,7,7,1
29,Pediococcus,10,10,10,2,0,1,10,1,1,1,2,1,10,0,0,0,0,1,0
30,Periweissella,5,4,1,5,3,5,0,1,1,0,2,0,5,0,1,0,0,1,0
31,Schleiferilactobacillus,3,3,0,3,0,1,3,0,0,0,0,3,3,3,0,0,0,1,0
32,Secundilactobacillus,15,4,0,15,10,15,0,8,8,14,0,0,15,0,2,0,0,13,11
33,Weissella,20,17,19,19,10,19,4,0,0,0,1,1,20,0,0,0,0,1,2
