,Genus,# of  species,Note
0,Acetilactobacillus,1,
1,Agrilactobacillus,2,
2,Amylolactobacillus,1,
3,Apilactobacillus,9,
4,Bombilactobacillus,3,
5,Carnobacterium,1,Outgroup
6,Companilactobacillus,35,
7,Convivina,1,
8,Dellaglioa,1,
9,Fructilactobacillus,4,
10,Fructobacillus,9,
11,Furfurilactobacillus,3,
12,Holzapfelia,1,
13,Lacticaseibacillus,27,
14,Lactiplantibacillus,17,
15,Lactobacillus,48,
16,Lapidilactobacillus,7,
17,Latilactobacillus,5,
18,Lentilactobacillus,21,
19,Leuconostoc,19,
20,Levilactobacillus,27,
21,Ligilactobacillus,15,
22,Limosilactobacillus,28,
23,Liquorilactobacillus,12,
24,Loigolactobacillus,9,
25,Oenococcus,4,
26,Paralactobacillus,1,
27,Paucilactobacillus,7,
28,Pediococcus,11,
29,Periweissella,5,
30,Schleiferilactobacillus,3,
31,Secundilactobacillus,14,
32,Weissella,20,
,,371,
