Genus,# of  species,Note
Carnobacterium,1,Outgroup
Lactobacillus,48,
Amylolactobacillus,1,
Holzapfelia,1,
Bombilactobacillus,3,
Companilactobacillus,35,
Lapidilactobacillus,7,
Agrilactobacillus,2,
Schleiferilactobacillus,3,
Lacticaseibacillus,27,
Paralactobacillus,1,
Latilactobacillus,5,
Loigolactobacillus,9,
Dellaglioa,1,
Liquorilactobacillus,12,
Ligilactobacillus,15,
Pediococcus,11,
Lactiplantibacillus,17,
Fructilactobacillus,4,
Acetilactobacillus,1,
Apilactobacillus,9,
Lentilactobacillus,21,
Secundilactobacillus,14,
Levilactobacillus,27,
Paucilactobacillus,7,
Limosilactobacillus,28,
Furfurilactobacillus,3,
Periweissella,5,
Weissella,20,
Oenococcus,4,
Convivina,1,
Fructobacillus,9,
Leuconostoc,19,
,371,
