Genus, Note
Carnobacterium,Outgroup
Lactobacillus,
Amylolactobacillus,
Holzapfelia,
Bombilactobacillus,
Companilactobacillus,
Lapidilactobacillus,
Agrilactobacillus,
Schleiferilactobacillus,
Lacticaseibacillus,
Paralactobacillus,
Latilactobacillus,
Loigolactobacillus,
Dellaglioa,
Liquorilactobacillus,
Ligilactobacillus,
Pediococcus,
Lactiplantibacillus,
Fructilactobacillus,
Acetilactobacillus,
Nicolia,
Apilactobacillus,
Lentilactobacillus,
Secundilactobacillus,
Levilactobacillus,
Paucilactobacillus,
Limosilactobacillus,
Furfurilactobacillus,
Periweissella,
Weissella,
Oenococcus,
Convivina,
Fructobacillus,
Leuconostoc,
