Genus, Note
Carnobacterium,Outgroup
Lactobacillus,
Amylolactobacillus,
Holzapfeliella,
Bombilactobacillus,
Companilactobacillus,
Lapidilactobacillus,
Agrilactobacillus,
Schleiferilactobacillus,
Lacticaseibacillus,
Paralactobacillus,
Latilactobacillus,
Loigolactobacillus,
Dellaglioa,
Liquorilactobacillus,
Ligilactobacillus,
Pediococcus,
Lactiplantibacillus,
Fructilactobacillus,
Acetilactobacillus,
Nicoliella,
Apilactobacillus,
Lentilactobacillus,
Secundilactobacillus,
Levilactobacillus,
Paucilactobacillus,
Limosilactobacillus,
Furfurilactobacillus,
Periweissella,
Weissella,
Oenococcus,
Convivina,
Fructobacillus,
Leuconostoc,
