,Genus, Note,Type species,
,Carnobacterium,Outgroup,,
1,Lactobacillus,Homo,Lactobacillus delbrueckii,
2,Amylolactobacillus,Homo,Amylolactobacillus amylophilus,
3,Holzapfeliella,Homo,Holzapfeliella floricola,
4,Xylocopilactobacillus,Homo,Xylocopilactobacillus apis,Added in 2024.
5,Bombilactobacillus,Homo,Bombilactobacillus mellifer,
6,Companilactobacillus,Homo,Companilactobacillus alimentarius,
7,Lapidilactobacillus,Homo,Lapidilactobacillus concavus,
8,Agrilactobacillus,Homo,Agrilactobacillus composti,
9,Schleiferilactobacillus,Homo,Schleiferilactobacillus perolens,
10,Lacticaseibacillus,Homo,Lacticaseibacillus casei,
11,Paralactobacillus,Homo,Paralactobacillus selangorensis,Not in the NCBI taxonomy list but still include it!!
12,Latilactobacillus,Homo,Latilactobacillus sakei,
13,Loigolactobacillus,Homo,Loigolactobacillus coryniformis,
14,Dellaglioa,Homo,Dellaglioa algida,
15,Liquorilactobacillus,Homo,Liquorilactobacillus mali,
16,Ligilactobacillus,Homo,Ligilactobacillus salivarius,
17,Pediococcus,Homo,Pediococcus damnosus,
18,Lactiplantibacillus,Homo,Lactiplantibacillus plantarum,
1,Fructilactobacillus,Hetero,Fructilactobacillus fructivorans,
2,Acetilactobacillus,Hetero,Acetilactobacillus jinshanensis,
3,Philodulcilactobacillus,Hetero,Philodulcilactobacillus myokonensis,Added in Nov 2024
4,Nicoliella,Hetero,Nicoliella spurrieriana,
5,Apilactobacillus,Hetero,Apilactobacillus kunkeei,
6,Lentilactobacillus,Hetero,Lentilactobacillus buchneri,
7,Secundilactobacillus,Hetero,Secundilactobacillus malefermentans,
8,Levilactobacillus,Hetero,Levilactobacillus brevis,
9,Paucilactobacillus,Hetero,Paucilactobacillus vaccinostercus,
10,Limosilactobacillus,Hetero,Limosilactobacillus fermentum,
11,Furfurilactobacillus,Hetero,Furfurilactobacillus rossiae,
12,Periweissella,Hetero,Periweissella ghanensis,
13,Weissella,Hetero,Weissella viridescens,
14,Oenococcus,Hetero,Oenococcus oeni,
15,Eupransor,Hetero,Eupransor demetentiae,Added in Nov 2024
16,Convivina,Hetero,Convivina intestini,
17,Fructobacillus,Hetero,Fructobacillus fructosus,
18,Leuconostoc,Hetero,Leuconostoc mesenteroides,
