0,not_nan,not_nan,1,MotB,MotA,FlgB,FlgC,FliE,FliF,FliG,FliH,flagellum-specific,FliJ,FliK,FlgD,FlgE,FlbD,FliL,FliO/FliZ,FliP,FliQ,FliR,FlhB,FlhA,FliA,FlgG_1,FlgG_2,methyl-accepting,CheW_1,CheD,CheB,CheR,CheA,CheC,CheY,CheW_2,FliM,FliN/FliY,FlgM,FlgK,FlgL,Flagellin,FlaG,flagellar,FliS
1,NZ_JAFBDN000000000.1,Periweissella beninensis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,JAAXPN000000000,Periweissella fabalis,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1
3,W.fabaria_LMG_24289,Periweissella fabaria,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1
4,W.ghanensis_LMG_24286,Periweissella ghanensis,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1
