query acc.,strain accs.,identity,query coverage,evalue
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,CP018217_01363,40.588,64,1.8e-26
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,AYYZ00000000_00400,40.084,69,9.97e-34
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,AZDD00000000_01540,41.401,63,1.96e-25
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,AZGM00000000_00619,40.244,65,7.2999999999999995e-25
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,AYZA00000000_00982,44.937,81,3.6000000000000003e-29
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP029684_01516,60.915,73,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,SDGY00000000_01362,53.695,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEIZ00000000_01581,57.164,88,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP012009_00432,58.65,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP015247_01710,57.197,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,JAAXPO000000000_01089,60.251,73,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,DQ489736_00142,56.426,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,NZ_JAFBDN000000000.1_00660,56.108,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,JQAY00000000_02027,55.912,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEKT01000001_00542,55.356,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP015247_01715,56.849,84,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEMI00000000_00917,55.139,83,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP000411_00549,54.148,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,FN822744_01029,54.741,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,SDGY00000000_01367,54.426,72,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP003851_00816,54.367,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYZD00000000_02199,54.326,76,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP029684_00547,53.665,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP001753_02039,53.387,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYZF00000000_02236,53.894,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEIZ00000000_00706,53.846,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZEF00000000_01153,52.411,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEIZ00000000_01813,49.176,76,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEMI00000000_00665,53.442,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP014611_01334,49.055,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,DQ489736_01340,43.684,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEMJ00000000_01248,55.671,66,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZCK00000000_01015,48.634,75,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYYH00000000_01320,51.265,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZEG00000000_01170,52.906,72,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,QEKT00000000_01455,52.578,63,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYYW00000000_01567,49.405,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,QEKT00000000_01434,52.828,62,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZEF00000000_01877,45.789,73,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZFQ00000000_01898,50.146,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZEF00000000_02066,49.389,76,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZFQ00000000_00010,45.526,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYZF00000000_00777,49.485,76,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AZFT00000000_01853,47.012,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEGQ00000000_01022,63.052,55,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYYW00000000_01568,46.305,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP014611_01612,57.96,64,0.0
