0,not_nan,not_nan,1,Fructose_bisphosphate_aldolase,AguA1_agmatine_deiminase,Alcohol_dehydrogenase_2,Mannitol_dehydrogenase,Alcohol_dehydrogenase_1,Phosphofructokinase ,Glycerol_dehydratase_small_subunit_PduE,Glycerol_dehydratase_medium_subunit_PduD,Transaldolase,Galactose_1_phosphate_uridyltransferase,Mannitol_phosphate_dehydrogenase,UDP_galactose_4_epimerase,Pyruvate_formate_lyase,Phosphoketolase,Ornithine_decarboxylase,Galactose_6_phosphate_isomerase,Transketolase,Lactaldehyde_dehydrogenase,Dextransucrase,Devansucrase
1,JQAV00000000,Lactobacillus delbrueckii bulgaricus,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
2,CP018217,Lactobacillus delbrueckii sunkii,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
3,AZCR00000000,Lactobacillus delbrueckii delbrueckii,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1
4,AZDU00000000,Lactobacillus equicursoris,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
5,AZDE00000000,Lactobacillus delbrueckii lactis,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
6,JQCG00000000,Lactobacillus delbrueckii jakobsenii,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1
7,AZFL00000000,Lactobacillus delbrueckii indicus,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
8,AZCS00000000,Lactobacillus acidophilus,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
9,AZGN00000000,Lactobacillus intestinalis,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
10,AYYU00000000,Lactobacillus jensenii,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
11,AYZN00000000,Lactobacillus pasteurii,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0
12,AZGI00000000,Lactobacillus hamsteri,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
13,AYZO00000000,Lactobacillus gigeriorum,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
14,SDGL00000000,Lactobacillus mulieris,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1
15,AZFB00000000,Lactobacillus psittaci,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1
16,AZFM00000000,Lactobacillus kalixensis,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
17,AZFU00000000,Lactobacillus kitasatonis,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
18,AZCM00000000,Lactobacillus amylovorus,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
19,AZEK00000000,Lactobacillus helveticus,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
20,AZCW00000000,Lactobacillus crispatus,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1
21,RXIA00000000,Lactobacillus xujianguonis,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
22,BFBY00000000,Lactobacillus rodentium ,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
23,AZEM00000000,Lactobacillus kefiranofaciens kefirgranum,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
24,AZGG00000000,Lactobacillus kefiranofaciens kefiranofaciens,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
25,AZEL00000000,Lactobacillus gallinarum,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1
26,AZFO00000000,Lactobacillus ultunensis,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0
27,AZEP00000000,Lactobacillus amylolyticus,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0
28,NC_008530,Lactobacillus gasseri,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
29,AZCY00000000,Lactobacillus johnsonii,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
30,AYZG00000000,Lactobacillus taiwanensis,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
31,AP018549,Lactobacillus paragasseri,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
32,AYZP00000000,Lactobacillus hominis,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
33,JXBY00000000,Lactobacillus kullabergensis,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
34,NPNH01000000,Lactobacillus panisapium,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0
35,JXLI00000000,Lactobacillus melliventris,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
36,NPNG00000000,Lactobacillus bombicola,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0
37,JXLH00000000,Lactobacillus kimbladii,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
38,PDKP00000000,Lactobacillus apis,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
39,JXJR00000000,Lactobacillus helsingborgensis,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0
40,AZET00000000,Lactobacillus iners,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
41,AYZC00000000,Lactobacillus acetotolerans,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0
42,ASM1414555,Limosilactobacillus albertensis,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1
