query acc.,strain accs.,identity,query coverage,evalue
MotB,NZ_JAFBDN000000000.1_01393,100.0,100,0.0
MotB,AZEF00000000_00920,51.23,94,1.0199999999999999e-82
MotB,AYZD00000000_00400,50.82,94,7.66e-82
MotB,AYZF00000000_00383,50.41,94,1.1699999999999999e-81
MotB,AZEG00000000_00223,50.82,94,1.19e-81
MotB,AZFQ00000000_00429,50.394,99,4.78e-81
MotB,W.ghanensis_LMG_24286_00293,48.996,100,5.29e-81
MotB,W.fabaria_LMG_24289_01277,48.996,100,5.29e-81
MotB,AZEH00000000_00918,49.421,100,2.1900000000000002e-79
MotB,JAAXPN000000000_01184,50.0,100,2.48e-79
MotB,BFFP01000000_02215,47.51,99,7.36e-75
MotB,AYYX00000000_01934,49.012,98,1.3400000000000001e-73
MotB,AYYH00000000_01633,45.635,99,2.77e-72
MotB,AZDX00000000_01544,44.534,99,5.45e-70
MotB,AYYP00000000_01207,43.726,95,7.28e-67
MotB,AYZE00000000_00395,44.355,99,2.2100000000000002e-66
MotB,AZFI00000000_00479,44.815,99,7.92e-66
MotB,AZEV00000000_00302,49.609,99,5.68e-65
MotB,AZGB00000000_00805,47.059,99,2.3e-62
MotB,AYYL00000000_01693,41.27,94,1.89e-61
MotB,AZDA00000000_01702,36.066,23,2.0
MotB,RKLX00000000_01489,32.258,23,3.7
MotB,JQBX00000000_01777,36.508,20,3.8
MotB,JXCT00000000_00821,24.39,32,4.0
MotB,JQBD00000000_00958,28.75,32,7.2
MotB,JQBP00000000_00866,25.333,57,7.9
MotB,MSSM00000000_01094,27.647,64,8.2
MotB,AZCT00000000_02045,27.647,64,8.8
MotB,AZDG00000000_01378,50.0,11,9.7
MotA,NZ_JAFBDN000000000.1_01394,100.0,100,0.0
MotA,AYZF00000000_00384,66.797,99,3.27e-120
MotA,AZEF00000000_00919,66.797,99,2.64e-117
MotA,AZEG00000000_00224,68.293,96,3.8000000000000004e-117
MotA,AYZD00000000_00399,68.163,95,4.18e-116
MotA,AZEH00000000_00917,65.833,93,6.66e-114
MotA,AZFQ00000000_00428,64.463,94,2.4e-111
MotA,AYYH00000000_01632,60.311,100,1.52e-110
MotA,AZEV00000000_00303,60.236,99,4.19e-110
MotA,AZDX00000000_01545,60.7,100,1.54e-109
MotA,AYZE00000000_00394,62.097,96,7.89e-108
MotA,AZGB00000000_00806,60.408,95,7.310000000000001e-105
MotA,W.fabaria_LMG_24289_01278,60.081,96,9.250000000000001e-103
MotA,AYYX00000000_01933,61.224,95,8.38e-102
MotA,W.ghanensis_LMG_24286_00294,59.677,96,2.38e-101
MotA,AYYP00000000_01206,59.055,99,5.54e-101
MotA,JAAXPN000000000_01183,58.468,96,8.18e-101
MotA,BFFP01000000_02214,57.6,96,1.1199999999999999e-95
MotA,AYYL00000000_01692,55.6,97,1.52e-93
MotA,AZFI00000000_00480,54.51,98,3.5399999999999997e-93
MotA,AYYR00000000_03248,32.812,24,0.54
MotA,JABEKX000000000_02727,26.733,37,2.0
MotA,AZEQ00000000_01165,28.378,26,5.1
MotA,JQBD00000000_01049,32.432,28,6.1
MotA,JQBG01000000_02075,33.333,26,7.4
MotA,NZ_JAFBDN000000000.1_01206,32.184,33,8.3
MotA,BFFP01000000_00100,35.849,21,8.6
MotA,AZCZ00000000_01997,25.773,37,9.8
FlgB,NZ_JAFBDN000000000.1_01395,100.0,100,3.69e-86
FlgB,AZEF00000000_00918,64.516,100,2.21e-53
FlgB,AYZF00000000_00385,65.323,100,1.4499999999999999e-52
FlgB,AYZD00000000_00398,64.516,100,2.5099999999999998e-52
FlgB,AZEG00000000_00225,62.097,100,5.57e-50
FlgB,BFFP01000000_01417,59.836,98,4.19e-46
FlgB,AZGB00000000_00807,60.484,100,1.12e-45
FlgB,W.ghanensis_LMG_24286_00295,58.065,100,2.25e-45
FlgB,W.fabaria_LMG_24289_01279,58.065,100,2.25e-45
FlgB,JAAXPN000000000_01182,57.258,100,2.98e-44
FlgB,AZEV00000000_00304,60.484,100,3.26e-44
FlgB,AYZE00000000_00393,60.504,96,9.16e-44
FlgB,AYYX00000000_00566,57.258,100,4.6000000000000006e-43
FlgB,AZEH00000000_00916,59.677,100,5.6500000000000006e-43
FlgB,AYYH00000000_01631,58.065,100,5.700000000000001e-43
FlgB,AZDX00000000_01546,58.065,100,3.78e-42
FlgB,AZFQ00000000_00427,61.345,96,1.0699999999999999e-41
FlgB,AZFI00000000_02029,55.738,98,2.15e-41
FlgB,AYYL00000000_01694,54.032,100,5.6499999999999995e-40
FlgB,AYYP00000000_01211,56.557,98,4.73e-37
FlgB,AZDX00000000_01246,38.983,45,0.002
FlgB,AZGB00000000_00818,33.333,57,0.003
FlgB,AYZD00000000_00387,29.412,72,0.01
FlgB,AZEV00000000_00315,31.081,57,0.017
FlgB,AZEG00000000_00236,28.431,72,0.022
FlgB,AYYH00000000_01620,55.172,23,0.039
FlgB,AYZE00000000_00382,38.889,41,0.04
FlgB,AZEF00000000_00907,42.424,27,0.063
FlgB,AYZF00000000_00396,29.487,60,0.073
FlgB,AYZD00000000_00397,34.351,90,0.091
FlgB,AZEG00000000_00226,34.351,90,0.11
FlgB,NZ_JAFBDN000000000.1_01416,33.824,55,0.15
FlgB,AZFQ00000000_00416,46.667,24,0.17
FlgB,AYZE00000000_00372,27.273,91,0.18
FlgB,AZEH00000000_00905,46.667,24,0.18
FlgB,AYYL00000000_01715,41.304,37,0.22
FlgB,AYZE00000000_00392,31.69,92,0.24
FlgB,AZEG00000000_00246,26.0,74,0.28
FlgB,AYYL00000000_01705,28.205,60,0.51
FlgB,AZEF00000000_00897,34.043,38,0.52
