query acc.,strain accs.,identity,query coverage,evalue
MotB,NZ_JAFBDN000000000.1_01393,100.0,100,0.0
MotB,W.ghanensis_LMG_24286_00293,48.996,100,7.05e-83
MotB,W.fabaria_LMG_24289_01277,48.996,100,7.05e-83
MotB,JAAXPN000000000_01184,50.0,100,3.31e-81
MotB,W.fabaria_LMG_24289_01509,28.409,64,0.21
MotB,JAAXPN000000000_00664,31.081,30,0.52
MotB,W.ghanensis_LMG_24286_01120,32.432,30,0.81
MotB,NZ_JAFBDN000000000.1_01417,32.53,32,0.89
MotB,W.fabaria_LMG_24289_01781,29.73,30,1.1
MotB,W.fabaria_LMG_24289_00567,26.866,27,1.4
MotB,NZ_JAFBDN000000000.1_00470,40.625,13,1.6
MotB,JAAXPN000000000_00883,28.395,32,2.6
MotB,CP037940_01167,22.695,55,3.0
MotB,NZ_JAFBDN000000000.1_01105,51.724,12,5.3
MotB,W.fabaria_LMG_24289_00842,48.276,12,6.3
MotB,W.ghanensis_LMG_24286_00695,48.276,12,6.5
MotB,JAAXPN000000000_00345,31.373,20,6.6
MotB,W.ghanensis_LMG_24286_00774,33.333,16,7.3
MotB,JAAXPN000000000_01577,48.276,12,7.6
MotB,JAAXPN000000000_00695,20.482,33,8.1
MotA,NZ_JAFBDN000000000.1_01394,100.0,100,0.0
MotA,W.fabaria_LMG_24289_01278,60.081,96,1.2299999999999999e-104
MotA,W.ghanensis_LMG_24286_00294,59.677,96,3.17e-103
MotA,JAAXPN000000000_01183,58.468,96,1.09e-102
MotA,NZ_JAFBDN000000000.1_01206,32.184,33,0.11
MotA,CP037940_00563,31.034,33,0.72
MotA,W.fabaria_LMG_24289_01463,29.885,33,1.0
MotA,NZ_JAFBDN000000000.1_01220,27.273,30,3.0
MotA,W.fabaria_LMG_24289_01164,22.388,23,3.0
MotA,NZ_JAFBDN000000000.1_01484,28.889,18,3.8
MotA,W.fabaria_LMG_24289_01563,35.417,16,4.5
MotA,W.ghanensis_LMG_24286_00660,42.308,10,6.1
MotA,JAAXPN000000000_01617,42.308,10,7.0
MotA,CP037940_01655,35.294,13,9.5
FlgB,NZ_JAFBDN000000000.1_01395,100.0,100,4.9200000000000004e-88
FlgB,W.ghanensis_LMG_24286_00295,58.065,100,3e-47
FlgB,W.fabaria_LMG_24289_01279,58.065,100,3e-47
FlgB,JAAXPN000000000_01182,57.258,100,3.97e-46
FlgB,NZ_JAFBDN000000000.1_01416,33.824,55,0.002
FlgB,W.ghanensis_LMG_24286_00305,42.308,21,0.038
FlgB,JAAXPN000000000_01172,42.308,21,0.04
FlgB,W.fabaria_LMG_24289_01289,42.308,21,0.041
FlgB,NZ_JAFBDN000000000.1_01405,31.818,51,0.1
FlgB,W.ghanensis_LMG_24286_00316,35.897,31,0.23
FlgB,W.fabaria_LMG_24289_01300,35.897,31,0.24
FlgB,W.ghanensis_LMG_24286_01687,29.487,62,0.26
FlgB,W.fabaria_LMG_24289_01280,38.235,40,0.61
FlgB,W.ghanensis_LMG_24286_00296,38.235,40,0.62
FlgB,JAAXPN000000000_01144,43.75,26,1.3
FlgB,NZ_JAFBDN000000000.1_01396,43.478,31,1.4
FlgB,JAAXPN000000000_01181,38.235,40,1.5
FlgB,W.fabaria_LMG_24289_01317,43.75,26,1.7
FlgB,NZ_JAFBDN000000000.1_01469,50.0,21,1.7
FlgB,W.ghanensis_LMG_24286_00333,43.75,26,1.8
FlgB,JAAXPN000000000_01530,32.558,31,2.0
FlgB,JAAXPN000000000_01161,29.268,33,2.4
FlgB,CP037940_01898,42.857,27,2.5
FlgB,NZ_JAFBDN000000000.1_01415,29.032,50,4.5
FlgB,W.ghanensis_LMG_24286_00774,36.842,29,5.7
FlgB,JAAXPN000000000_00078,42.857,23,9.1
FlgC,NZ_JAFBDN000000000.1_01396,100.0,100,8.159999999999999e-106
FlgC,JAAXPN000000000_01181,63.946,100,7.4e-63
FlgC,W.ghanensis_LMG_24286_00296,63.946,100,3.7e-62
FlgC,W.fabaria_LMG_24289_01280,63.265,100,6.9e-62
FlgC,JAAXPN000000000_01162,43.103,36,2.04e-06
FlgC,W.fabaria_LMG_24289_01299,47.619,29,2.61e-05
FlgC,W.ghanensis_LMG_24286_00315,47.619,29,2.66e-05
FlgC,NZ_JAFBDN000000000.1_01415,52.381,25,0.000245
FlgC,JAAXPN000000000_01161,42.105,26,0.002
FlgC,NZ_JAFBDN000000000.1_01416,39.189,50,0.004
FlgC,W.fabaria_LMG_24289_01300,39.474,26,0.004
FlgC,W.ghanensis_LMG_24286_00316,39.474,26,0.005
FlgC,NZ_JAFBDN000000000.1_01469,48.485,22,0.1
FlgC,JAAXPN000000000_01144,35.849,36,0.34
FlgC,W.ghanensis_LMG_24286_00333,35.849,36,0.37
FlgC,W.fabaria_LMG_24289_01317,35.849,36,0.39
FlgC,NZ_JAFBDN000000000.1_01405,43.75,55,0.71
FlgC,NZ_JAFBDN000000000.1_01405,24.49,55,8.7
FlgC,W.ghanensis_LMG_24286_00295,40.476,29,1.2
FlgC,W.fabaria_LMG_24289_01279,40.476,29,1.2
FlgC,JAAXPN000000000_01172,23.404,32,1.4
FlgC,W.ghanensis_LMG_24286_00305,23.404,67,1.5
FlgC,W.ghanensis_LMG_24286_00305,34.615,67,8.6
FlgC,W.fabaria_LMG_24289_01289,23.404,68,1.5
FlgC,W.fabaria_LMG_24289_01289,33.962,68,9.9
FlgC,NZ_JAFBDN000000000.1_01395,43.478,31,1.6
FlgC,JAAXPN000000000_01182,40.476,29,1.6
FlgC,CP037940_00224,28.302,35,1.7
FlgC,CP037940_00929,39.394,21,3.0
FlgC,W.ghanensis_LMG_24286_00503,34.884,29,3.6
FlgC,JAAXPN000000000_01948,26.562,44,4.7
FlgC,NZ_JAFBDN000000000.1_00317,33.333,22,5.0
FlgC,CP037940_00569,35.294,23,5.2
FlgC,W.fabaria_LMG_24289_00510,26.829,28,6.9
FlgC,NZ_JAFBDN000000000.1_00255,27.083,33,8.0
FliE,NZ_JAFBDN000000000.1_01397,100.0,100,3.8300000000000003e-72
FliE,JAAXPN000000000_01180,53.509,100,3.66e-32
FliE,W.ghanensis_LMG_24286_00297,52.885,97,3.1e-30
