Acc,Abbr_Acc
AAY86923.1_GtfA_reuteran_Limosilactobacillus_reuteri_ATCC_55730,GtfA
AAU08015.1_GtfA_reuteran_Limosilactobacillus_reuteri_121,GtfA
CAB65910.2_GtfA_alternan_Leuconostoc_mesenteroides_NRRL_B-1355,GtfA
AIM52834.2_GtfA_alternan_Leuconostoc_citreum_ABK-1,GtfA
BAA26114.1_GtfA_mutan_Streptococcus_mutans,GtfA
AAU08004.1_GtfA_mutan_Limosilactobacillus_reuteri_ML1,GtfA
AAC41412.1_GtfA_alternan_Streptococcus_salivarius_ATCC_25975,GtfA
AAA26896.1_GtfA_mutan_Streptococcus_salivarius_ATCC_25975,GtfA
BAA02976.1_GtfA_mutan_Streptococcus_sobrinus_ATCC_33478,GtfA
AAC63063.1_GtfA_mutan_Streptococcus_downei_MFe28,GtfA
AAA88588.1_GtfA_mutan_Streptococcus_mutans_GS5,GtfA
BAF62338.1_GtfA_mutan_Streptococcus_criceti,GtfA
BAF62337.1_GtfA_mutan_Streptococcus_orisuis,GtfA
BAF96719.1_GtfA_dextran_Leuconostoc_citreum_HJ-P4,GtfA
BAC07265.1_GtfA_dextran_Streptococcus_sobrinus_B13N,GtfA
AAA26898.1_GtfA_dextran_Streptococcus_downei_MFe28,GtfA
BAA95201.1_GtfA_dextran_Streptococcus_oralis_ATCC_10557,GtfA
AAC41413.1_GtfA_dextran_Streptococcus_salivarius_ATCC_25975,GtfA
AAU08008.1_GtfA_dextran_Limosilactobacillus_fermentum_KG3,GtfA
AAU08011.1_GtfA_dextran_Latilactobacillus_sakei_KG15,GtfA
CAA77898.1_GtfA_dextran_Streptococcus_salivarius_ATCC_25975,GtfA
BAA14241.1_GtfA_dextran_Streptococcus_sobrinus,GtfA
AAC43483.1_GtfA_dextran_Streptococcus_gordonii_Challis_CH1,GtfA
AAA26895.1_GtfA_dextran_Streptococcus_mutans_GS5,GtfA
AAU08006.1_GtfA_dextran_Lentilactobacillus_parabuchneri_33,GtfA
CCK33644.1_GtfA_dextran_Ligilactobacillus_animalis_TMW_1.971,GtfA
AAU08001.1_GtfA_dextran_Limosilactobacillus_reuteri_180,GtfA
CCK33643.1_GtfA_dextran_Latilactobacillus_curvatus_TMW_1.624,GtfA
ABP88726.1_GtfA_dextran(or_reuteran)_Limosilactobacillus_reuteri_TMW_1.106,GtfA
AAQ98615.2_GtfA_dextran_Leuconostoc_mesenteroides_L0309,GtfA
ACK38203.1_GtfA_dextran_Weissella_cibaria_CMU,GtfA
BAA90527.1_GtfA_dextran_Leuconostoc_mesenteroides_NRRL_B-512F_fragment,GtfA
AAD10952.1_GtfA_dextran_Leuconostoc_mesenteroides_NRRL_B-512F,GtfA
AAS79426.1_GtfA_dextran_Leuconostoc_mesenteroides_IBT-PQ,GtfA
AFP53921.1_GtfA_dextran_Leuconostoc_mesenteroides_KIBGE-IB-22,GtfA
ADB43097.3_GtfA_dextran_Weissella_cibaria_LBAE-K39,GtfA
ACY92456.2_GtfA_dextran_Leuconostoc_citreum_B110-1-2,GtfA
AAG61158.1_GtfA_dextran_Leuconostoc_mesenteroides_LCC4,GtfA
CCF30682.1_GtfA_dextran_Weissella_confusa_LBAE_C39-2,GtfA
CAB76565.1_GtfA_dextran_Leuconostoc_mesenteroides_B-1355,GtfA
ABF85832.1_GtfA_dextran_Leuconostoc_mesenteroides_B-1299CB4,GtfA
AAG38021.1_GtfA_dextran_Leuconostoc_mesenteroides_B-742CB,GtfA
AAB95453.1_GtfA_Leuconostoc_mesenteroides_NRRL_B-1299,GtfA
AAB40875.1_GtfA_dextran_Leuconostoc_mesenteroides_NRRL-B1299,GtfA
ABC75033.1_GtfA_dextran_Leuconostoc_mesenteroides_0326,GtfA
ACA83218.1_GtfA_dextran_Leuconostoc_citreum_KM20,GtfA
AHU88292.1_GtfA_dextran_Weissella_confusa_VTT_E-90392,GtfA
ACT20911.1_GtfA_dextran_Leuconostoc_lactis_EG001,GtfA
CDX66641.1_GtfA_dextran_Leuconostoc_citreum_NRRL_B-1299,GtfA
CDX66895.1_GtfA_dextran_Leuconostoc_citreum_NRRL_B-1299,GtfA
AKE50934.1_GtfA_dextran_Weissella_confusa_Cab3,GtfA
AAN38835.1_GtfA_dextran_Leuconostoc_mesenteroides_NRRL_B-1501,GtfA
BAF43788.1_GtfA_dextran_Streptococcus_sanguinis_NCTC7863,GtfA
AAX76986.1_GtfA_dextran_Streptococcus_sobrinus_B13N,GtfA
CDX66820.1_GtfA_bifunctional_dextransucrase_Leuconostoc_citreum_NRRL_B-1299,GtfA
KRK22577.1_bifunctional_GtfA_Apilactobacillus_kunkeei_DSM12361,GtfA
ACB62096.1_GtfC_Exiguobacterium_sibiricum_255-15,GtfC
AKM18207.1_GtfC_Geobacillus_12AMOR1,GtfC
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,GtfD
ASA47861.1_GtfB_4-6_Limosilactobacillus_fermentum_NCC3057,GtfB
AYP74780.1_GtfB_4-6_Limosilactobacillus_reuteri_E81,GtfB
ASA47879.1_GtfB_4-6_Limosilactobacillus_reuteri_NCC2613,GtfB
ABQ83597.1_GtfB_4-6_Limosilactobacillus_reuteri_DSM20016,GtfB
KRM39239.1_GtfB_Lactobacillus_aviarius_DSM20655,GtfB
KRM39240.1_GtfB_Lactobacillus_aviarius_DSM20655,GtfB
KAF0260830.1_GtfA_dextran_Leuconostoc_citreum_TMW_2.1194,GtfA
KAF0260933.1_GtfA_dextran_Leuconostoc_citreum_TMW_2.1194,GtfA
KAF0260997.1_GtfA_dextran_Leuconostoc_citreum_TMW_2.1194,GtfA
CRI81_06255_GtfA_dextran_Leuconostoc_citreum_TMW_2.1194,GtfA
WP_141055456.1_GtfA_dextran_Liquorilactobacillus_hordei_TMW_1.1822,GtfA
WP_148126396.1_GtfA_dextran_Liquorilactobacillus_nagelii_TMW_1.1827,GtfA
AOR73699.1_GtfB_4-3_Limosilactobacillus_fermentum_NCC2970,GtfB
AAU08014.2_GtfB_4-6_Limosilactobacillus_reuteri_121,GtfB
AAU08003.2_GtfB_4-6_Limosilactobacillus_reuteri_ML1,GtfB
ATN28243.1_GtfA_dextran_Latilactobacillus_sakei_MN1,GtfA
RFN55776.1_GtfA_dextran_Latilactobacillus_sakei_TMW_1.411,GtfA
CBJ19544.1_GtfA_dextran_Lentilactobacillus_hilgardii_TMW_1.828,GtfA
CDX65123.1_BrsB_Lc_citreum_B-742_alpha1-3,CDX65123.1_BrsB_Lc_citreum_B-742_alpha1-3
KDB00248.1_BsrD_Apilactobacillus_kunkeei_EF6_alpha1-2,KDB00248.1_BsrD_Apilactobacillus_kunkeei_EF6_alpha1-2
WP_010006776.1_Brs-C_Leuconostoc_fallax_KCTC3537_alpha1-3,WP_010006776.1_Brs-C_Leuconostoc_fallax_KCTC3537_alpha1-3
CDX66896.1_Bsr-A_Leuconostoc_citreum_B-1299_alpha1-2,CDX66896.1_Bsr-A_Leuconostoc_citreum_B-1299_alpha1-2
AEN98739.1 Mannitol_dehydrogenase_hypothetical protein LSA_02820 [Fructilactobacillus sanfranciscensis TMW 1.1304],Mannitol_dehydrogenase
