query acc.,strain accs.,identity,query coverage,evalue
CAH0417907.1,W.ghanensis_LMG_24286_00323,100.0,100,1.3499999999999998e-141
CAH0417907.1,W.fabaria_LMG_24289_01307,98.974,100,2.55e-140
CAH0417907.1,JAAXPN000000000_01154,89.231,100,2.11e-126
CAH0417907.1,NZ_JAFBDN000000000.1_01423,51.795,100,1.53e-70
CAH0417907.1,W.ghanensis_LMG_24286_00327,29.231,66,0.002
CAH0417907.1,W.ghanensis_LMG_24286_00327,22.68,66,4.1
CAH0417907.1,JAAXPN000000000_01150,28.682,66,0.006
CAH0417907.1,JAAXPN000000000_01150,23.762,66,0.41
CAH0417907.1,JQCD00000000_01678,27.358,50,0.79
CAH0417907.1,JQCD00000000_00100,29.73,36,1.2
CAH0417907.1,CP037940_00355,29.762,43,2.1
CAH0417907.1,BAWR00000000_01492,30.645,32,3.5
CAH0417907.1,NZ_JAFBDN000000000.1_01432,26.667,53,4.1
CAH0417907.1,W.fabaria_LMG_24289_01311,23.711,48,8.0
CAH0417907.1,JQBM00000000_01201,33.333,24,8.9
CAH0417903.1,NZ_JAFBDN000000000.1_01422,32.692,39,8.019999999999998e-69
CAH0417903.1,W.ghanensis_LMG_24286_00322,35.19,39,1.4799999999999999e-68
CAH0417903.1,W.fabaria_LMG_24289_01306,35.19,39,1.6e-68
CAH0417903.1,JAAXPN000000000_01155,33.729,41,1.82e-67
CAH0417903.1,SDGZ00000000_02202,21.212,26,0.043
CAH0417903.1,BAWR00000000_00473,20.737,21,0.08
CAH0417903.1,W.fabaria_LMG_24289_01607,20.465,21,0.49
CAH0417903.1,CP037940_02114,20.0,21,0.53
CAH0417903.1,FMAO00000000_01190,23.364,21,4.7
CAH0417878.1,W.ghanensis_LMG_24286_00321,100.0,46,0.0
CAH0417878.1,W.fabaria_LMG_24289_01305,98.45,46,0.0
CAH0417878.1,W.ghanensis_LMG_24286_00294,100.0,45,2.62e-177
CAH0417878.1,W.fabaria_LMG_24289_01278,99.206,45,2.43e-175
CAH0417878.1,JAAXPN000000000_01156,84.109,46,8.639999999999999e-165
CAH0417878.1,JAAXPN000000000_01183,92.063,45,9.110000000000001e-164
CAH0417878.1,NZ_JAFBDN000000000.1_01394,59.677,44,9.219999999999999e-98
CAH0417878.1,NZ_JAFBDN000000000.1_01421,53.755,45,1.74e-90
CAH0417882.1,NZ_JAFBDN000000000.1_01413,77.056,33,0.0
CAH0417882.1,W.ghanensis_LMG_24286_00298,100.0,24,0.0
CAH0417882.1,W.fabaria_LMG_24289_01297,73.304,32,0.0
CAH0417882.1,W.ghanensis_LMG_24286_00313,73.304,32,0.0
CAH0417882.1,JAAXPN000000000_01164,73.117,32,0.0
CAH0417882.1,W.fabaria_LMG_24289_01282,98.627,24,0.0
CAH0417882.1,JAAXPN000000000_01179,87.451,24,0.0
