query acc.,strain accs.,identity,query coverage,evalue
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_00342,100.0,77,0.0
AFJ79554.1,Z3_no_descri_01502,99.746,77,0.0
AFJ79554.1,Z1_no_descri_01605,99.746,77,0.0
AFJ79554.1,D6_no_descri_01580,99.746,77,0.0
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_02446,52.604,75,5.78e-140
AFJ79554.1,Z3_no_descri_00016,52.344,75,1.87e-139
AFJ79554.1,Z1_no_descri_00377,52.344,75,1.87e-139
AFJ79554.1,D6_no_descri_00377,52.344,75,1.87e-139
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_03061,43.935,73,2.83e-95
AFJ79554.1,Z3_no_descri_01504,90.769,13,2.1800000000000002e-36
AFJ79554.1,Z1_no_descri_01607,90.769,13,2.1800000000000002e-36
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_00344,90.769,13,2.1800000000000002e-36
AFJ79554.1,D6_no_descri_01578,90.769,13,2.1800000000000002e-36
AFJ79554.1,Z3_no_descri_01527,82.54,12,5.03e-32
AFJ79554.1,Z1_no_descri_01630,82.54,12,5.03e-32
AFJ79554.1,D6_no_descri_01555,82.54,12,5.03e-32
AFJ79554.1,Z3_no_descri_01297,24.407,52,7.44e-17
AFJ79554.1,Z1_no_descri_00997,24.407,52,7.44e-17
AFJ79554.1,D6_no_descri_00986,24.407,52,7.44e-17
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_00795,24.407,52,7.64e-17
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_02688,22.535,39,1.1
AFJ79554.1,Z3_no_descri_00251,22.535,39,1.4
AFJ79554.1,Z1_no_descri_00142,22.535,39,1.4
AFJ79554.1,D6_no_descri_00142,22.535,39,1.4
AFJ79554.1,Z3_no_descri_00999,32.558,8,4.3
AFJ79554.1,Z1_no_descri_01284,32.558,8,4.3
AFJ79554.1,Lp_plantarum_WCFS1_complete_genome_03054,32.558,8,4.3
AFJ79554.1,D6_no_descri_01353,32.558,8,4.3
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_00361,99.581,55,0.0
ADE34578.1,Z3_no_descri_01521,99.441,55,0.0
ADE34578.1,Z1_no_descri_01624,99.441,55,0.0
ADE34578.1,D6_no_descri_01561,99.441,55,0.0
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_00362,100.0,35,0.0
ADE34578.1,Z3_no_descri_01522,99.782,35,0.0
ADE34578.1,Z1_no_descri_01625,99.782,35,0.0
ADE34578.1,D6_no_descri_01560,99.782,35,0.0
ADE34578.1,Z3_no_descri_01068,29.525,42,3.5799999999999996e-60
ADE34578.1,Z1_no_descri_01215,29.525,42,3.5799999999999996e-60
ADE34578.1,D6_no_descri_01422,29.525,42,3.5799999999999996e-60
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_03137,29.35,42,1.06e-59
ADE34578.1,Z3_no_descri_00774,27.736,40,2.03e-59
ADE34578.1,Z1_no_descri_00433,27.736,40,2.03e-59
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02074,27.736,40,2.03e-59
ADE34578.1,D6_no_descri_00774,27.736,40,2.03e-59
ADE34578.1,Z3_no_descri_00068,29.094,42,1.32e-53
ADE34578.1,Z1_no_descri_00325,29.094,42,1.32e-53
ADE34578.1,D6_no_descri_00325,29.094,42,1.32e-53
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02501,29.094,42,1.37e-53
ADE34578.1,Z3_no_descri_00067,26.723,44,1.62e-53
ADE34578.1,Z1_no_descri_00326,26.723,44,1.62e-53
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02500,26.723,44,1.62e-53
ADE34578.1,D6_no_descri_00326,26.723,44,1.62e-53
ADE34578.1,Z3_no_descri_00679,28.571,42,3.13e-53
ADE34578.1,Z1_no_descri_00528,28.571,42,3.13e-53
ADE34578.1,D6_no_descri_00679,28.571,42,3.13e-53
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02182,28.393,42,1.1299999999999999e-52
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02619,28.916,36,3.02e-52
ADE34578.1,Z3_no_descri_00182,28.831,36,3.41e-52
ADE34578.1,Z1_no_descri_00211,28.831,36,3.41e-52
ADE34578.1,D6_no_descri_00211,28.831,36,3.41e-52
ADE34578.1,Z3_no_descri_00120,26.345,40,1.2799999999999999e-48
ADE34578.1,Z1_no_descri_00273,26.345,40,1.2799999999999999e-48
ADE34578.1,D6_no_descri_00273,26.345,40,1.2799999999999999e-48
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02555,26.345,40,2.0399999999999998e-48
ADE34578.1,Z3_no_descri_01067,27.176,41,2.68e-48
ADE34578.1,Z1_no_descri_01216,27.176,41,2.68e-48
ADE34578.1,D6_no_descri_01421,27.176,41,2.68e-48
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_03136,26.998,41,3.7899999999999996e-46
ADE34578.1,Z3_no_descri_00773,25.835,42,8.040000000000001e-43
ADE34578.1,Z1_no_descri_00434,25.835,42,8.040000000000001e-43
ADE34578.1,Lp_plantarum_WCFS1_complete_genome_02075,25.835,42,8.040000000000001e-43
ADE34578.1,D6_no_descri_00773,25.835,42,8.040000000000001e-43
ADE34578.1,Z3_no_descri_00183,27.546,32,1.71e-38
ADE34578.1,Z1_no_descri_00210,27.546,32,1.71e-38
