query acc.,strain accs.,identity,query coverage,evalue
AJE22990.1_GtfD_Azotobacter_chroococcum_NCIMB_8003,AYZA00000000_00982,44.937,81,3.600000000000001e-29
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP029684_01516,60.915,73,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AFVZ00000000_01504,58.87,79,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AFVZ00000000_01504,45.238,79,0.31
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,SDGY00000000_01362,53.695,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEIZ00000000_01581,57.164,88,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP012009_00432,58.65,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP015247_01710,57.197,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,JAAXPO000000000_01089,60.251,73,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,DQ489736_00142,56.426,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,NZ_JAFBDN000000000.1_00660,56.108,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,JQAY00000000_02027,55.912,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEKT01000001_00542,55.356,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP015247_01715,56.849,84,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP014611_01617,56.491,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP014611_01617,40.476,71,1.16e-05
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AEMI00000000_00917,55.139,83,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP000411_00549,54.148,71,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,FN822744_01029,54.741,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,SDGY00000000_01367,54.426,72,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP003851_00816,54.367,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYZD00000000_02199,54.326,76,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP029684_00547,53.665,70,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP001753_02039,53.387,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,AYZF00000000_02236,53.894,87,0.0
CCK33643.1_GtfA_Latilactobacillus_curvatus_TMW_1.624,CP015247_00851,53.811,77,0.0
