,CAH0417907.1,CAH0417903.1,CAH0417878.1,CAH0417882.1,CAH0417893.1,WP_235315560.1,CAH0417922.1,QJU50634.1,GFI60335.1,GFI63498.1,QRQ96649.1,KRN47543.1,WP_014566627.1,CAH0416239.1,CAH0416238.1
W.ghanensis_LMG_24286,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
W.fabaria_LMG_24289,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
JAAXPN000000000,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
NZ_JAFBDN000000000.1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
JQCD00000000,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
CP037940,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
BAWR00000000,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0
JQBM00000000,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0
SDGZ00000000,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1
FMAO00000000,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
JQAX00000000,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1
ANCA00000000,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
GCA_009864005.1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
JAIWJH000000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
JAIWJG000000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
FUA3126,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
GCF_007989765.1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
GCA_009863985.1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
GCA_001437435.1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
GCA_000277855.1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
JAIWJE000000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
GCF_013394005.1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
JAIWJF000000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
AEKT01000001,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
JQAY00000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
FMAW00000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
CP014332,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
BJDT00000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
AKGG00000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0
ACKU00000000,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
JQBP00000000,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
CP060724,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0
NZ_JAFBEO000000000.1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
QRAS00000000,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
