0,not_nan,not_nan,1,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,ABP88726.1_GtfA_dextran(reuteran?)_Limosilactobacillus_reuteri_TMW_1.106,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfC,GtfD,GtfB,GtfB,GtfB,GtfB,GtfB,GtfB,GtfA,GtfA,GtfA,GtfA,GtfA,GtfA,GtfB,GtfB,GtfB,GtfA,GtfA,GtfA,CDX65123.1_BrsB_Lc_citreum_B-742_alpha1-3,KDB00248.1_BsrD_Apilactobacillus_kunkeei_EF6_alpha1-2,WP_010006776.1_Brs-C_Leuconostoc_fallax_KCTC3537_alpha1-3,CDX66896.1_Bsr-A_Leuconostoc_citreum_B-1299_alpha1-2,Mannitol_dehydrogenase
1,AZGM00000000,Limosilactobacillus panis,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,AEMI00000000,Leuconostoc gelidum subsp. gelidum,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
3,DQ489736,Leuconostoc citreum,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
4,BPKY00000000,Leuconostoc miyukkimchii,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
5,GCA_016908715,Leuconostoc rapi,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
6,AEIZ00000000,Leuconostoc fallax ,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
7,CP029684,Oenococcus sicerae ,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
8,CP012009,Leuconostoc mesenteroides subsp. dextranicum,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0
9,JAAXPO000000000,Leuconostoc holzapfelii ,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
10,AFVZ00000000,Oenococcus kitaharae ,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
